Name,Address,Latitude,Longitude,County,ZIP Code,City,Rating,Review_count,Website,Telephone
ChargePoint Charging Station,404 E Elk Ave,36.347584,-82.218605,Carter County,37643,Elizabethton,5,2,https://na.chargepoint.com/charge_point?id=1:5424051&action=VIEW,(888) 758-4389
Rivian Waypoints,1651 W Elk Ave,36.3442342,-82.2549346,Carter County,37694,Elizabethton,No reviews,,https://rivian.com/experience/charging?utm_medium=local-listing&utm_source=extnet&utm_campaign=yext&utm_content=WAYPOINTS91,(888) 748-4261
ChargePoint Charging Station,110 Cherry St,36.3160815,-82.3498677,Washington County,37605,Johnson City,No reviews,,,110 Cherry St
ChargePoint Charging Station,200 Blowers Blvd,36.298912,-82.293704,Carter County,37682,Elizabethton,No reviews,,https://na.chargepoint.com/charge_point?id=1:5397731&action=VIEW,(888) 758-4389
Rivian Waypoints,1651 W Elk Ave,36.34399,-82.2515506,Carter County,37644,Elizabethton,5,1,https://rivian.com/support/article/what-are-rivian-waypoint-chargers,(888) 748-4261
ChargePoint Charging Station,201 N Roan St,36.319176,-82.35326,Washington County,37604,Johnson City,4.7,6,https://na.chargepoint.com/charge_point?id=1:1932851&action=VIEW,(888) 758-4389
Tesla Supercharger,416 Pinnacle Pkwy,36.59171,-82.261227,Sullivan County,37621,Bristol,4.6,74,https://www.tesla.com/,(877) 798-3752
Rivian Waypoints,1205-1299 Orchard Rd,36.5090671,-81.9472593,Johnson County,37688,N/A,4,1,https://rivian.com/,(888) 748-4261
ChargePoint Charging Station,3631 US-11E,36.3759969,-82.3705103,Washington County,37601,Johnson City,No reviews,,https://na.chargepoint.com/charge_point?id=1:12459621&action=VIEW,(888) 758-4389
Electric Vehicle Charging Station,3602 Bristol Hwy,36.3740752,-82.3718725,Washington County,37601,Johnson City,No reviews,,https://www.nissanusa.com/,
ChargePoint Charging Station,2638 W State St,36.593654,-82.2134223,Sullivan County,37620,Bristol,No reviews,,https://na.chargepoint.com/charge_point?id=1:12827261&action=VIEW,(888) 758-4389
Blink Charging Station,3078 Hamilton Pl,36.3372135,-82.4080037,Washington County,37604,Johnson City,2.7,3,http://www.blinkcharging.com/,(855) 521-2244
ClipperCreek Charging Station,557 J L Seehorn Jr Rd,36.3002338,-82.3683573,Washington County,37614,Johnson City,5,1,,557 J L Seehorn Jr Rd
FLO Charging Station,100 Med Tech Pkwy,36.341184,-82.403198,Washington County,37604,Johnson City,No reviews,,https://www.flo.com/,
ChargePoint Charging Station,920 N State of Franklin Rd,36.32396,-82.393432,Washington County,37604,Johnson City,No reviews,,https://na.chargepoint.com/charge_point?id=1:5529011&action=VIEW,(888) 758-4389
ChargePoint Charging Station,110 N Industrial Dr,36.1496519,-82.418497,Unicoi County,37650,Erwin,5,1,https://na.chargepoint.com/charge_point?id=1:2077121&action=VIEW,(888) 758-4389
EVmatch Charging Station,210 S Church St,36.4736051,-81.8048649,Johnson County,37683,Mountain City,No reviews,,http://www.evmatch.com/,
Lynkwell Charging Station,142 Old Gray Station Rd,36.41329,-82.47508,Washington County,37615,Gray,No reviews,,https://lynkwell.com/,
