Name,Category,Address,Latitude,Longitude,County,ZIP Code,City,Rating,Review_count
West Towne Sq,Shopping mall,101 Hudson Dr,36.3455315,-82.2447239,Carter County,37643,Elizabethton,4.3,"1,072"
Valley Forge Wholesale,Discount store,412 Cherokee Park Dr,36.3554316,-82.2384439,Carter County,37643,Elizabethton,4.5,"1,336"
Redi Mart Supermarket,Supermarket,8322 US-19E,36.196462,-82.065888,Carter County,37687,Roan Mountain,4.3,213
Elk Crossing,Shopping mall,Unnamed Road,36.3511195,-82.2370988,Carter County,37643,Elizabethton,4.2,569
Betsytowne Shopping Center,Shopping mall,US-19E,36.3322326,-82.2040141,Carter County,37644,Elizabethton,4.3,64
Johnson City Plaza Shopping Center,Shopping mall,2120 N Roan St,36.343095,-82.3725971,Washington County,37659,Johnson City,4.2,"2,016"
Central Shopping Center,Shopping mall,,36.3243993,-82.3615026,Washington County,37601,Johnson City,4.3,191
The Village,Shopping mall,102 Hudson Dr,36.34654,-82.2430119,Carter County,37694,Elizabethton,4.6,29
University Plaza,Shopping mall,1735 W State of Franklin Rd,36.3006587,-82.3774075,Washington County,37601,Johnson City,4.3,223
University Parkway shopping Centre,Shopping mall,104 US-321 Scenic,36.3071844,-82.3432482,Washington County,37604,Johnson City,4.9,7
State Line Market,Convenience store,1876 US-19E,36.3269812,-82.2017636,Carter County,37643,Elizabethton,4,92
Brown's Grocery & Hardware,Grocery store,613 US-321,36.2854453,-82.1596313,Carter County,37658,Hampton,4.6,202
Secure Stor LLC,Self-storage facility,1323 US-19E,36.3372539,-82.2061653,Carter County,37644,Elizabethton,3.9,25
Stor At The Forge,Self-storage facility,4075 US-19E,36.3121382,-82.1958246,Carter County,37643,,4.8,20
Cloudland Food Market,Convenience store,8172 US-19E,36.1989827,-82.0710582,Carter County,37687,Roan Mountain,4.2,23
Warehouse Row,Shopping mall,1110 Market St,35.0427422,-85.3089065,Hamilton County,37402,Chattanooga,4.3,"1,271"
City Market,Deli,449 East E Street,36.3487256,-82.2168675,Carter County,37643,Elizabethton,4.7,261
Farmer's Exchange,Farm shop,6451 US-19E,36.2266767,-82.1724772,Carter County,37687,,4.8,32
H&H Market,Butcher shop,106 Nave Hollow Rd,36.3873718,-82.10175,Carter County,37643,,4.4,138
Redi Mart Food Store,Convenience store,1001 Siam Rd,36.3409037,-82.2025402,Carter County,37643,Elizabethton,3.8,13
The Store,Store,3588 US-421,36.5445775,-82.1136433,Sullivan County,37620,,4.2,267
Mountain Stream Farms LLC,Produce market,3861 US-19E,36.3166134,-82.1986116,Carter County,37643,Elizabethton,5,11
Tennessee Office Supply,Office furniture store,3302 Wayfield Dr,36.3703432,-82.3706514,Washington County,37601,Johnson City,4.9,36
Elizabethton Farmers Market,Farmers' market,"Kiwanis Park, 1208 W G St",36.3413074,-82.2435598,Carter County,37643,Elizabethton,4.6,37
Roadrunner Markets,Convenience store,4953 US-19E,36.2866728,-82.1736296,Carter County,37658,Hampton,3.9,33
Secure Stor LLC,Self-storage facility,108 Hudson Dr,36.3453,-82.2428268,Carter County,37644,Elizabethton,2,2
