Keyword,Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Website,Scraped_at,Telephone,Tags,Detail_URL,County,ZIP Code,City
"vehicle parking in Cheatham County, Tennessee","Music City Truck And Trailer Parking, LLC",4.3,8.0,,Parking lot,233 Fesslers Ln,36.1517034,-86.7437939,Open,Closes 8 PM,,2025-02-25 15:01:28,(615) 810-6666,,"https://www.google.com/maps/place/Music+City+Truck+And+Trailer+Parking,+LLC/data=!4m7!3m6!1s0x8864654ef4d2c56f:0xf7f770685ea14200!8m2!3d36.1517034!4d-86.7437939!16s%2Fg%2F11fjzwjjgs!19sChIJb8XS9E5lZIgRAEKhXmhw9_c?authuser=0&hl=en&rclk=1",Davidson County,37210,Nashville
"vehicle parking in Cocke County, Tennessee",440 Truck Stop,3.4,"1,005",,Truck stop,1893 TN-73,35.8807118,-83.1850675,Open,Closes 11 PM,https://www.facebook.com/pages/440-Truckstop/202596986574855,2025-02-25 15:12:46,(423) 532-7470," 
Onsite services",https://www.google.com/maps/place/440+Truck+Stop/data=!4m7!3m6!1s0x885bdcb8b884de97:0xf20bbe8198963860!8m2!3d35.8807118!4d-83.1850675!16s%2Fg%2F11bw150lzg!19sChIJl96EuLjcW4gRYDiWmIG-C_I?authuser=0&hl=en&rclk=1,Cocke County,37821,N/A
"vehicle parking in Cocke County, Tennessee",Newport Truck Trailer Repair and Heavy Duty Towing,4.1,78,,Truck repair shop,116 Jasmine Rd,35.9768104,-83.2111053,Open 24 hours,,https://newporttruckrepair.com/,2025-02-25 15:13:11,(423) 623-2480," 
Onsite services",https://www.google.com/maps/place/Newport+Truck+Trailer+Repair+and+Heavy+Duty+Towing/data=!4m7!3m6!1s0x885bc22e9d6b0e4f:0xefa646477bdaf205!8m2!3d35.9768104!4d-83.2111053!16s%2Fg%2F1tf7yfrz!19sChIJTw5rnS7CW4gRBfLae0dGpu8?authuser=0&hl=en&rclk=1,Cocke County,37821,N/A
"vehicle parking in Coffee County, Tennessee",Truck Parking,5.0,1.0,,Parking lot,201 Expressway Dr,35.4609132,-86.0565527,,,,2025-02-25 15:15:50,201 Expressway Dr,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x886169e087ed0c35:0x946b96a926080f51!8m2!3d35.4609132!4d-86.0565527!16s%2Fg%2F11rrg7cyjf!19sChIJNQzth-BpYYgRUQ8IJqmWa5Q?authuser=0&hl=en&rclk=1,Coffee County,N/A,Manchester
"vehicle parking in Coffee County, Tennessee",Exit 127 truck parking and Storage.,5.0,13.0,,Parking lot,1775 TN-50,35.3046015,-85.8909131,,,https://exit127truckparking.com/,2025-02-25 15:15:54,,,https://www.google.com/maps/place/Exit+127+truck+parking+and+Storage./data=!4m7!3m6!1s0x88610d2db43d9ead:0x2c3f759ceb148165!8m2!3d35.3046015!4d-85.8909131!16s%2Fg%2F11t4hvprwt!19sChIJrZ49tC0NYYgRZYEU65x1Pyw?authuser=0&hl=en&rclk=1,Grundy County,37366,N/A
"vehicle parking in Crockett County, Tennessee",TRUCK PARKING AREA,3.1,8.0,,Parking lot,"9721-9705, US-70",35.5830679,-89.0911261,Open 24 hours,,,2025-02-25 15:17:25,,,https://www.google.com/maps/place/TRUCK+PARKING+AREA/data=!4m7!3m6!1s0x887ebfddfe11aad5:0xe0539e6cb0bfc551!8m2!3d35.5830679!4d-89.0911261!16s%2Fg%2F11gvz8z12h!19sChIJ1aoR_t2_fogRUcW_sGyeU-A?authuser=0&hl=en&rclk=1,Haywood County,38012,N/A
"vehicle parking in Crockett County, Tennessee",Truck parking,No reviews,,,Parking lot,154 TN-138,35.5947595,-89.0544653,,,https://truckparkingclub.com/,2025-02-25 15:17:40,154 TN-138,,https://www.google.com/maps/place/Truck+parking/data=!4m7!3m6!1s0x887ebf002ff9b5ab:0x71e3f469859b9e!8m2!3d35.5947595!4d-89.0544653!16s%2Fg%2F11w4h06q4p!19sChIJq7X5LwC_fogRnpuFafTjcQA?authuser=0&hl=en&rclk=1,Madison County,38301,N/A
"vehicle parking in Cumberland County, Tennessee",Truck and RV Parking,4.3,12,,Parking lot,52 Park Ln,35.9876548,-85.0152359,,,,2025-02-25 15:19:37,,,https://www.google.com/maps/place/Truck+and+RV+Parking/data=!4m7!3m6!1s0x886759e87644735f:0xdd55f3e66e932a18!8m2!3d35.9876548!4d-85.0152359!16s%2Fg%2F11j65nvz48!19sChIJX3NEduhZZ4gRGCqTbubzVd0?authuser=0&hl=en&rclk=1,Cumberland County,37855,Crossville
"vehicle parking in Cumberland County, Tennessee",Truck Parking Area Exit 336,4.1,113,,Parking lot,,35.8997887,-84.7808097,Open 24 hours,,,2025-02-25 15:19:46,,,https://www.google.com/maps/place/Truck+Parking+Area+Exit+336/data=!4m7!3m6!1s0x885dfb51d6a4759d:0x948dd5cf3ea0588f!8m2!3d35.8997887!4d-84.7808097!16s%2Fg%2F11c713m8kl!19sChIJnXWk1lH7XYgRj1igPs_VjZQ?authuser=0&hl=en&rclk=1,Cumberland County,N/A,N/A
"vehicle parking in Davidson County, Tennessee",Parking Semi Truck,No reviews,,,Parking lot,109 Candy Ln,36.0906892,-86.6936375,Open 24 hours,,,2025-02-25 15:23:32,(615) 568-7239,,https://www.google.com/maps/place/Parking+Semi+Truck/data=!4m7!3m6!1s0x88646fab985451d7:0xef049074db8be995!8m2!3d36.0906892!4d-86.6936375!16s%2Fg%2F11lsrfkf6f!19sChIJ11FUmKtvZIgRlemL23SQBO8?authuser=0&hl=en&rclk=1,Davidson County,37211,Nashville
