Name,Address,Latitude,Longitude,County,ZIP Code,City,Road Name,Nearest Highway,Distance to Highway (miles),Rating,Review_count,Category
"Music City Truck And Trailer Parking, LLC",233 Fesslers Ln,36.1517034,-86.7437939,Davidson County,37210,Nashville,Fesslers Lane,Fesslers Lane,0.08,4.3,8,Parking lot
440 Truck Stop,1893 TN-73,35.8807118,-83.1850675,Cocke County,37821,N/A,SR 73,Hartford Road,0.11,3.4,"1,005",Truck stop
Newport Truck Trailer Repair and Heavy Duty Towing,116 Jasmine Rd,35.9768104,-83.2111053,Cocke County,37821,N/A,Transport Way,West Broadway Street,0.33,4.1,78,Truck repair shop
Truck Parking,201 Expressway Dr,35.4609132,-86.0565527,Coffee County,37357,Manchester,Uselton Drive,Hillsboro Boulevard,0.13,5,1,Parking lot
Exit 127 truck parking and Storage.,1775 TN-50,35.3046015,-85.8909131,Grundy County,37366,N/A,SR 50,I 24;US 64,0.81,5,13,Parking lot
TRUCK PARKING AREA,"9721-9705, US-70",35.5830679,-89.0911261,Haywood County,38012,N/A,East Main Street,East Main Street,0.1,3.1,8,Parking lot
Truck parking,154 TN-138,35.5947595,-89.0544653,Madison County,38301,N/A,Providence Road,Providence Road,0.16,No reviews,,Parking lot
Truck and RV Parking,52 Park Ln,35.9876548,-85.0152359,Cumberland County,37855,Crossville,Park Spur Lane,Genesis Road,0.36,4.3,12,Parking lot
Truck Parking Area Exit 336,,35.8997887,-84.7808097,Cumberland County,37854,N/A,Truck Parking,Westel Road,2.66,4.1,113,Parking lot
Parking Semi Truck,109 Candy Ln,36.0906892,-86.6936375,Davidson County,37211,Nashville,Candy Lane,Harding Place,0.2,No reviews,,Parking lot
Pilot truck parking,304 Howard Baker Hwy,36.3781962,-84.2480661,Campbell County,37847,Caryville,Howard H. Baker Highway,Howard H Baker Highway,0.13,3.7,23,Parking lot
Trolley Rock Truck Stop,8791 David Crockett Hwy,35.1207325,-86.1962542,Franklin County,37398,Winchester,David Crockett Highway,David Crockett Highway,0.11,3.4,43,Gas station
Truck Parking Area,,35.392668,-85.990791,Coffee County,37342,N/A,I 24,I 24,0.5,4.1,220,Rest stop
Trucker Parking Lot- Tennessean,3686 Pulaski Hwy,35.3107551,-86.8801933,Marshall County,37047,Cornersville,Sam Davis Highway,Sam Davis Highway,0.35,4.7,42,Parking lot
Truck parking,Unnamed Road 37047,35.3288846,-86.8808273,Marshall County,37047,N/A,I 65,Sam Davis Highway,0.8,3.9,87,Public parking space
